75200	69140819
75300	56137498
75400	66127554
75500	59089741
75600	67447132
75700	50461017
75800	55776681
75900	65650634
76000	59678757
76100	63661468
76200	82568282
76300	96917030
76400	117037010
76500	78414089
76600	89313942
76700	94037096
76800	60936276
76900	183577638
77000	94024188
77100	133828670
77200	94118749
77300	58129978
77400	81558421
77500	109203036
77600	84460940
77700	88663073
77800	90271698
77900	107310573
78000	70511873
78100	104829537
78200	63419666
78300	73262684
78400	49957893
78500	77958403
78600	65921246
78700	65773994
78800	56044915
78900	80189715
79000	55413801
79100	66724621
79200	57246328
79300	87370399
79400	62979213
79500	82672605
79600	70867439
79700	52447558
79800	74994506
79900	54777908
80000	77450926
80100	69766603
80200	84559696
80300	77915625
80400	62854297
80500	72211375
80600	74039867
80700	65168966
80800	77010225
80900	63849306
81000	87837257
81100	73466976
81200	98258272
81300	69420713
81400	70605231
81500	84115234
81600	60929385
81700	94307362
81800	113189392
81900	77173462
82000	82166940
82100	68602900
82200	77183786
82300	49561692
82400	94564072
82500	85847193
82600	76572434
82700	76027237
82800	66809080
82900	82696025
83000	76196781
83100	76744361
83200	87836428
83300	89582971
83400	68416573
83500	93873023
83600	76539800
83700	57877717
83800	77685818
83900	73286728
84000	62089647
84100	79965006
84200	74805154
84300	66695746
84400	89531694
84500	74932275
84600	76067950
84700	77872784
84800	90771452
84900	83408998
85000	59551716
85100	86042215
85200	86028621
85300	65703562
85400	66206273
85500	88712309
85600	93884936
85700	63710991
85800	76200716
85900	80371595
86000	79921517
86100	76187624
86200	78194165
86300	84440957
86400	83943739
86500	57341476
86600	80684381
86700	91772287
86800	70464081
86900	117877069
87000	103892201
87100	110118428
87200	57610243
87300	95611127
87400	77198359
87500	69019637
87600	75449732
87700	70620710
87800	77232421
87900	59472999
88000	80673527
88100	84609742
88200	79356399
88300	69677102
88400	81340070
88500	82460518
88600	66030078
88700	83079739
88800	58773897
88900	75763181
89000	73682023
89100	75995801
89200	78050021
89300	78040502
89400	81941579
89500	79939417
89600	63270604
89700	74639852
89800	82236830
89900	74399232
90000	80999702
90100	91147933
90200	87756789
90300	85513770
90400	68905644
90500	81994873
90600	84594788
90700	69273285
90800	76268981
90900	107138715
91000	76652326
91100	82950657
91200	75041644
91300	76225302
91400	85033266
91500	72409357
91600	81900138
91700	79827306
91800	74954497
91900	94305109
92000	78935416
92100	95792805
92200	78933095
92300	75658361
92400	85147636
92500	73980050
92600	74470680
92700	80081056
92800	67662093
92900	78973434
93000	78877486
93100	74833291
93200	74206497
93300	80884080
93400	73187195
93500	85289123
93600	81957181
93700	81390112
93800	86713386
93900	92346897
94000	75249048
94100	76445563
94200	74972814
94300	86342210
94400	79289138
94500	81059448
94600	80364771
94700	74859710
94800	84621962
94900	89110651
95000	78855213
95100	81656563
95200	81379811
95300	88370071
95400	113100947
95500	79087954
95600	86909004
95700	79649227
95800	70404223
95900	83483721
96000	99169096
96100	101031233
96200	84123855
96300	80131520
96400	106183816
96500	98805237
96600	87469168
96700	75753700
96800	79272658
96900	95559407
97000	126850899
97100	99248168
97200	100503135
97300	92389200
97400	81802629
97500	103120454
97600	123852941
97700	91441174
97800	79274172
97900	94696993
98000	75258967
98100	76042484
98200	91915878
98300	80394287
98400	97408408
98500	82182398
98600	99949256
98700	71768398
98800	77873080
98900	87732455
99000	128075661
99100	116857714
99200	104057783
99300	95595928
99400	76955178
99500	84592366
99600	76016658
99700	81259664
99800	82766243
99900	74325678
100000	77714198
100100	87007063
100200	93133481
100300	104495825
100400	87601547
100500	115993092
100600	81983619
100700	83277107
100800	78082012
100900	94416307
101000	91847709
101100	75223126
101200	93959143
101300	79248381
101400	94554221
101500	84140136
101600	91876140
101700	108982089
101800	87969455
101900	118671038
102000	118738754
102100	99174107
102200	93661625
102300	116317521
102400	103139934
102500	71729529
102600	93135823
102700	68679849
102800	92630917
102900	134308444
103000	112607457
103100	99595925
103200	103884880
103300	108546999
103400	105130286
103500	112970228
103600	124753566
103700	131572093
103800	100052292
103900	86139650
104000	97159251
104100	85124189
104200	69366240
104300	101552519
104400	82908059
104500	99656421
104600	86167401
104700	99493919
104800	98478464
104900	82295484
105000	109497648
105100	75613389
105200	84077162
105300	101380312
105400	72943155
105500	114719300
105600	86723432
105700	94369767
105800	107053007
105900	92933473
106000	96665705
106100	142042196
106200	100469746
106300	112789605
106400	123433396
106500	85274914
106600	96169193
106700	107552937
106800	84744547
106900	94933963
107000	87907424
107100	91757168
107200	114429612
107300	89826640
107400	122944615
107500	100800981
107600	87174099
107700	83627364
107800	91417584
107900	133212148
108000	83656745
108100	93978765
108200	109359597
108300	110693380
108400	105893278
108500	111784422
108600	89603278
108700	92120753
108800	99790210
108900	106822282
109000	116038628
109100	87296852
109200	113381009
109300	139183498
109400	113176718
109500	122180651
109600	107933673
109700	119121618
109800	74991049
109900	112798818
110000	98364540
110100	85036619
110200	121158888
110300	127813518
110400	92777504
110500	94979439
110600	97988971
110700	106016121
110800	121375398
110900	101229851
111000	97107817
111100	72949989
111200	120675191
111300	107976872
111400	89617002
111500	89593240
111600	105215316
111700	105945249
111800	114785948
111900	93275098
112000	95086083
112100	120841217
112200	104973902
112300	99183358
112400	94006390
112500	91238760
112600	110685911
112700	112777188
112800	91895569
112900	106306202
113000	119703091
113100	114415151
113200	103309040
113300	88183996
113400	105579826
113500	97169934
113600	87559471
113700	114453342
113800	108368363
113900	104991605
114000	93225877
114100	107481358
114200	107732175
114300	96205612
114400	92237196
114500	122371853
114600	109764236
114700	108464762
114800	110034430
114900	107284613
115000	89539004
115100	110153245
115200	121832701
115300	105098998
115400	80332160
115500	116349272
115600	103985481
115700	100849695
115800	112206139
115900	103136059
116000	126569100
116100	119558912
116200	118795658
116300	97399874
116400	114657726
116500	103135388
116600	111627234
116700	104901422
116800	103209460
116900	114372138
117000	96799092
117100	94148744
117200	100090602
117300	119748002
117400	101204579
117500	115772711
117600	126011967
117700	133731708
117800	143054221
117900	101455694
118000	140684441
118100	187046795
118200	144316927
118300	255788741
118400	184685934
118500	127602707
118600	185330995
118700	125049895
118800	99749997
118900	107255530
119000	92626796
119100	117656112
119200	219473114
119300	161520241
119400	143721799
119500	149017632
119600	121161531
119700	115455479
119800	118145546
119900	115694862
120000	197594148
120100	140655556
120200	127008037
120300	160628790
120400	126598539
120500	83421117
120600	123398275
120700	99971162
120800	105088149
120900	97614400
121000	110311096
121100	133048463
121200	103608446
121300	118718175
121400	106033168
121500	113559752
121600	108086344
121700	114915648
121800	104890810
121900	120030319
122000	115487344
122100	121444631
122200	116717275
122300	105215196
122400	110873327
122500	111420722
122600	118283853
122700	105768589
122800	101441543
122900	114365552
123000	106389688
123100	109709635
123200	108528701
123300	103645984
123400	119526269
123500	106471628
123600	118571448
123700	112004009
123800	119718653
123900	105371910
124000	118891259
124100	113914228
124200	114017919
124300	106698519
124400	119854834
124500	101650874
124600	113405707
124700	151222487
124800	114330685
124900	105451557
125000	116486023
125100	102463128
125200	118547398
